"id","school","male","FRL","ITBS_read_96","attend_SS","ITBS_read_97"
1,1,1,0,-0.182077637685093,0,-0.364692207432054
2,1,0,1,0.0764541166530517,0,0.252508945015195
3,1,1,0,-0.997410968936881,0,-0.850805689366593
4,1,0,1,-1.19872459908958,1,0.00245299568164059
5,1,1,1,-1.64166668714673,1,-0.025423509540925
6,1,0,0,-1.41665098825344,1,-1.57035193709301
7,1,0,1,0.523821768755036,0,0.580317863191219
8,1,1,0,-0.710416207284719,0,-0.704992482624515
9,1,1,1,-2.79734439693159,1,-2.53137946246226
10,1,1,0,-1.05377071503067,1,-1.29259658208694
11,1,0,0,-2.18974008314173,0,-2.83677672460367
12,1,1,0,0.627403896248175,0,0.181857859781498
13,1,0,1,-1.32783535203377,0,-2.74999657694786
14,1,0,1,-2.16396583120407,1,-2.08403772348257
15,1,0,1,-0.890448564041241,0,-1.12339902899733
16,1,1,0,-0.24487563706607,0,0.209940885873747
17,1,0,1,-1.2509390174412,1,-1.24388737998005
18,1,1,1,-0.377371157322341,0,0.0134420151842908
19,1,0,1,-2.18082565243068,1,-2.0459449779008
20,1,0,1,-0.968636211066639,0,-1.17572664649114
21,1,0,1,-1.05469213179506,1,-0.255240767455659
22,1,1,1,-1.62711941548522,1,-0.451815175536585
23,1,1,0,-1.34369039375645,1,-1.43546179496619
24,1,0,1,-1.26412036668278,1,-0.295619725224574
25,1,1,0,-1.56449575363338,1,-0.93090794275284
26,1,0,1,-1.26360202395296,1,-0.479200358897868
27,1,0,1,-1.46532094334323,1,-1.33861706642462
28,1,1,1,-0.887076092841802,0,-0.527178552826879
29,1,0,0,-0.765860309552448,0,-0.174938344158896
30,1,1,1,-1.29709781530465,1,-1.96653444950613
31,1,1,1,-0.393972972737048,0,0.096821494551052
32,1,0,0,-0.369137288282688,0,-0.177695467615922
33,1,1,1,-0.809421381311011,0,-1.34611612428791
34,1,0,0,0.0337660855241907,0,0.0185683331046993
35,1,1,1,-2.04991241595265,1,-2.04928018209636
36,1,0,1,-2.55985408593891,0,-2.95345799475618
37,1,1,1,-1.63920880874278,0,-2.55736639688869
38,1,1,0,-1.74574419815137,1,-0.926657316107697
39,1,0,0,-1.5004431559762,1,-1.05070560083377
40,1,1,0,-1.04630738067479,0,-0.79417098965637
41,1,1,0,-0.0962272280205201,0,-0.570696754117752
42,1,1,0,-0.92473697517548,0,-1.83704601238528
43,1,1,1,-2.50456125840861,0,-3.03346003662436
44,1,0,1,-1.70068160360189,1,-1.6679150779076
